Race,Lap,Position,Overtaker,Overtaken,Live,Turn
Bahrain,2,16,Stroll,Norris,,1
Bahrain,2,18,Zhou,Latifi,Yes,4
Bahrain,3,5,Perez,Magnussen,Yes,4
Bahrain,3,17,Zhou,Norris,,1
Bahrain,4,16,Zhou,Stroll,,5
Bahrain,5,6,Russell,Magnussen,Yes,1
Bahrain,5,11,Tsunoda,Albon,,1
Bahrain,5,15,Zhou,Hulkenberg,,14
Bahrain,6,13,Bottas,Schumacher,Yes,1
Bahrain,6,19,Ricciardo,Latifi,,13
Bahrain,7,14,Zhou,Schumacher,Yes,1
Bahrain,7,19,Latifi,Ricciardo,,4
Bahrain,8,9,Ocon,Alonso,,1
Bahrain,8,12,Bottas,Albon,Yes,11
Bahrain,10,4,Perez,Hamilton,Yes,4
Bahrain,10,13,Zhou,Albon,Replay,4
Bahrain,10,15,Stroll,Schumacher,,4
Bahrain,12,11,Zhou,Hamilton,Yes,3
Bahrain,12,18,Ricciardo,Latifi,,8
Bahrain,13,11,Hamilton,Zhou,Yes,1
Bahrain,13,17,Alonso,Ricciardo,,4
